Image URL;Artiker Number;Title;Manufacturer;URL;Shipping Cost;Price;Stock;Condition;RAM;GPU;Processor;SSD vs HDD;Screen Size;Screen Resolution;Product Weight;Supplier;Positive Feedback
https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png;;Shop on eBay;;https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA;Unknown Shipping Cost;Unknown Price;Unknown stock;Unknown condition product;Unknown RAM;Unknown GPU;Unknown Processor;Unknown SSD | Unknown SSD;Unknown Screen Size;Unknown screen resolution;Unknown product weight;Unknown supplier;
https://i.ebayimg.com/thumbs/images/g/pqYAAOSw66ljzKVK/s-l300.jpg;275853872709;HP 14DQ0002DX Laptop Intel Celeron N4020 4GB DDR4 SDRAM 64GB eMMC 14 inch HD New;;https://www.ebay.com/itm/275853872709?epid=19040971136&hash=item403a2c0e45%3Ag%3ApqYAAOSw66ljzKVK&amdata=enc%3AAQAIAAAAwG1MDEMgZMSE5g1G4JFajOCwmL0Gn1xxkCM%2FZK5r2Ttqq82ALIwGrUIVhqpa3zljB0oUQikzCUSwMDF3oIPcp7z99O2NAxuV8l8%2FopiUNIdp5EHUGzGKYuP%2FY2o5zk39%2FBW9e8%2FOC2TXo2V%2FxAYX0IgTGiqggjWQ5AHELgtM2JdWXenmixfqryiF1ZaERF0OroI4%2FiBH2of8TlNEzOZuIXpnwYxA45M5w1xJK%2BVnFPr3t58y0fwX5fVHDZUkoulKjQ%3D%3D%7Ctkp%3ABk9SR67Eofq4Yg&LH_ItemCondition=1000%7C2010;275853872709;US $299.95;Stok tidak ada;NewNew;4 GB;Intel UHD Graphics 600;Intel Celeron N; | ;14 in;1366 x 768;3.24lbs.;ande9999;99.4% positive feedback
https://i.ebayimg.com/thumbs/images/g/j1sAAOSwieRky-10/s-l300.jpg;256116645007;17.3in Laptop 17 CN0053DS Intel Celeron N4120, 4GB RAM, 128 GB SSD  BRAND NEW;HP;https://www.ebay.com/itm/256116645007?epid=11053443600&hash=item3ba1bddc8f%3Ag%3Aj1sAAOSwieRky-10&amdata=enc%3AAQAIAAAA4C7SJ8SsehX%2BAnqw9P9uLrR%2B4YM7n2MWaQTwaVf9I%2BU7%2FZmMjdrMm19RypXprZzhJ4T%2F%2Fg%2FGPeQWv3z8UUbC8Go6MklGo%2B6HOdtx97HuRtqQFCVCg0Nu4B%2B6W6QlLpVv4IWTxwOMC2Z%2B25PlO%2BUV4dMeURG2k2L%2Fidec2riLc3SBqI867ATAXciGayjICMUNE7klBvNCerHvk3%2BE%2F7PoFoqRoBySsNgqpJL22Tr809TW1mFHBFTFIzr1Ud8WsMfpSr1gYFruLiza1kHiTAPVHQDc2Vi%2FoeP6nIR1Ji2EeQZh%7Ctkp%3ABk9SR67Eofq4Yg&LH_ItemCondition=1000%7C2010;256116645007;US $299.95;9 available;NewNew;4 GB;Intel UHD Graphics 600;Intel Celeron N;128 GB | 128 GB;15.6 in;1366 x 768;3.86 lbs;digicircle;99.4% positive feedback
https://i.ebayimg.com/thumbs/images/g/~mIAAOSw-~FkwVdU/s-l300.jpg;115731151863;"~WINDOWS 10 PRO~15.6"" HP EliteBook i5 Dual Core Laptop: 16GB Ram, 512GB SSD";HP;https://www.ebay.com/itm/115731151863?hash=item1af21d3bf7%3Ag%3A%7EmIAAOSw-%7EFkwVdU&amdata=enc%3AAQAIAAAA4ANXjGH7H6UwQLk5m2xoMvm3RWExmp1N%2Bk9HVrsshB6fDic61GIyyNVx8GfmmH5xPUSpJfil0lxuGop7jaXmIZQms4OywhwUAAa1qPFmlkfFf5sIVSHhBO5mby8HdcvKH1Sew0Z3r5TdapoqjdtYr5OliXtkWWa%2BY%2B6vLKPnegdqpNZ2wRjHNzqZr4eYdqXUeCh%2BfS0EYFMaBbxFTGTeghxKg%2FC3eFV%2F7BWYSgXeDe1dEXGHsXd%2BJmHZ1ECNGKaX4QTw54PIiJuYn6IAkVNCo2XPKE4voWlJt%2BxPxi3oTlxw%7Ctkp%3ABk9SR67Eofq4Yg&LH_ItemCondition=1000%7C2010;115731151863;US $299.97;Last One / 56 sold;Excellent - RefurbishedExcellent - Refurbished;16 GB;Intel Integrated HD Graphics;Intel Core i5 7th Gen.;512 GB | 512 GB;15.6 in;1366 x 768;;rinuvo;99.8% positive feedback
https://i.ebayimg.com/thumbs/images/g/JwgAAOSwOQdjHLhT/s-l300.jpg;293865127551;Dell Inspiron 15 3510 Laptop,4GB DDR4, 128GB SSD, Wins 11 Home, Black, BRAND NEW;HP;https://www.ebay.com/itm/293865127551?epid=8050688610&hash=item446bb9fe7f%3Ag%3AJwgAAOSwOQdjHLhT&amdata=enc%3AAQAIAAAAwDz1z%2FwHoz2XjH%2F3B6efB2eYyBo%2F4a1u4xUpEI2XCZo%2FojmVuYmxa1ZQi1aWBrWkI%2Bo6cnm0vpnSp%2FFqsRuY2arJ8i9yw7ua%2BI%2Bh0Cr0I5alD3JOD%2Ftct1X8pY4ki8FdgRi0eaW%2F1uLFwtKg%2BMHLX2oOqzi6uD6SFoSdCNYawPG%2FRv2437WY2Batixg517iEeLfT%2BUXtlO5R9z%2FyyJN4hQOQx8PiH9QElsJLvnwsR6WIF7SknZkY3vouTAohn%2FDuxA%3D%3D%7Ctkp%3ABk9SR67Eofq4Yg&LH_ItemCondition=1000%7C2010;293865127551;US $269.99;Last One / 8 sold;NewNew;4 GB;Intel UHD Graphics 600;Intel Celeron N;128 GB | 128 GB;15.6 in;1366 x 768;;oatetronic;100% positive feedback
https://i.ebayimg.com/thumbs/images/g/cZUAAOSwg8dkrc3w/s-l300.jpg;155689459171;"Lenovo 15.6"" Touchscreen IdeaPad 3 Chromebook 4GB RAM -128GB (82N4002SUS)";Dell;https://www.ebay.com/itm/155689459171?epid=18059253997&hash=item243fd09de3%3Ag%3AcZUAAOSwg8dkrc3w&amdata=enc%3AAQAIAAAAwNpLjOpB35%2F0NR0oiPb15zbuNAZRBXQaAvJTCgM79p3Tmi2nHPwDg%2FMXmQ155wyyOopDRgbFvrWnG2nC%2Bc4C6AufBPIqy3z2jhdNiJlqYNEIVjY8l5Qm0YHzn3ip3JMDP4GHQcQIs09zY26%2BTioD5CCMpdagh0z%2BvVcR1vAg5QCFShPQkXZwZSzaZM7VPtAK5bGvBxBvKePhNRDFPIVLY4Qb%2Fov%2B4VEUP8P7ifpXxAdKsqg6Q1IjA4cjKjN%2BWDBBgw%3D%3D%7Ctkp%3ABk9SR67Eofq4Yg&LH_ItemCondition=1000%7C2010;US $53.71;US $299.98;Stok tidak ada;NewNew;4 GB;Intel UHD Graphics;Intel Pentium Silver;128 GB | 128 GB;15.6 in;1920 x 1080;3.58 lbs;resellrdan;100% positive feedback
https://i.ebayimg.com/thumbs/images/g/P5wAAOSwsqtkkdKv/s-l300.jpg;155619784156;Lenovo Thinkpad X280 Laptop Intel Core i5 1.70 GHz 8GB Ram 256GB SSD W10P;Lenovo;https://www.ebay.com/itm/155619784156?epid=7059643822&hash=item243ba975dc%3Ag%3AP5wAAOSwsqtkkdKv&amdata=enc%3AAQAIAAAAwBjU7i8Hpt2sGjPA0Oc67zQ3vuBj8fC13q6q99sWu1REm%2FCRhfagJKK9D2FRHbYRY7hnYFvY0j3XenyqQBIs%2BIlZLyWX%2FLDNjU3CwNkCzlPUvFenpqdxH6nBuKQUIpAEvfozXJDmyKBz5ep9TIXZRSQGxcLSWE4zEF9m9GwEvdvUh4x5krEzGluCJDXW5K%2B%2Bo27648b8P77OGDijKcRm8AKFhqmnWnEbF4tRjf8fYcca957ZkOMncjoh2J1byA8qvw%3D%3D%7Ctkp%3ABk9SR67Eofq4Yg&LH_ItemCondition=1000%7C2010;155619784156;US $299.99;6 available;Excellent - RefurbishedExcellent - Refurbished;8 GB;Intel UHD 620 Graphics;8350U; | ;"12.5""";;;buyrefurbishedus;97.8% positive feedback
https://i.ebayimg.com/thumbs/images/g/SWQAAOSwHkdhdlFm/s-l300.jpg;154668280235;Lenovo Thinkpad T560 Laptop Intel Core i7 2.60 GHz 16Gb Ram 512GB SSD W10P;Lenovo;https://www.ebay.com/itm/154668280235?epid=7051607942&hash=item2402f2a9ab%3Ag%3ASWQAAOSwHkdhdlFm&amdata=enc%3AAQAIAAAAwDpWu6%2B21tWKFxOLOuhUODd6JbSEebKf6S5h4zhFk8TTgYZLTOfO1NS5AFHRq0Y5W%2Bd81IPy8obOaltOXfgcxClqXrSahEpTiXc1%2BM4Lq4SJkRMQsQttvooaTJrAHrxIbD%2BAU6Eh3vpLv7C6y94RDBw7%2F7ULKwNjzlZ0HvOzz%2BlRFvRtS9PRiJwG3NXnQKI9SPvXh8GJz8%2FImOVvqY1bGPtN%2BoQRxaGjfkde1gNnubJXtBms1ElVn2kAxRr2UlVX4g%3D%3D%7Ctkp%3ABk9SR67Eofq4Yg&LH_ItemCondition=1000%7C2010;154668280235;US $299.99;3 available / 33 sold;Excellent - RefurbishedExcellent - Refurbished;16 GB;Intel HD Graphics 520;6600M; | ;"15.6""";;;buyrefurbishedus;97.8% positive feedback
https://i.ebayimg.com/thumbs/images/g/k0IAAOSwhkhkmb1w/s-l300.jpg;155630432544;"HP Elitebook X360 1030 G2 13.3"" Laptop Intel Core i5 16GB 256GB SSD W10P Touch";Lenovo;https://www.ebay.com/itm/155630432544?epid=13060396582&hash=item243c4bf120%3Ag%3Ak0IAAOSwhkhkmb1w&amdata=enc%3AAQAIAAAA4JM8G8ieQf11qn%2BQf4CEgkKFfXbWcgH6kRBMyepLQRJryEG%2Fkox4tc4Qx13dGQwee4go39uZLgfiJCAceDw0iERVRv6OjAkkb2NXM%2FZ645CJxufKAx7lmWBjrDyW8TBs%2BQNJOn0CkOYzHFY%2Fw0ihsfFg%2B2JWrNVCscvhGYOYE0wSK9%2FPW87D9O5%2BsQr%2Fiw1Ki0e285YiPEeivaufRllFVOO5RO8Z2wZFkrnwI3%2Fca2H3Li5mHDcOoa0HEHzbIjvUgHsfVkRbFXH54QkWr0j80uw86ueF5cSbGw8lwVPOgGAZ%7Ctkp%3ABk9SR67Eofq4Yg&LH_ItemCondition=1000%7C2010;155630432544;US $299.99;2 available;Excellent - RefurbishedExcellent - Refurbished;16 GB;Intel HD Graphics 620;7300U; | ;"13.3""";;;buyrefurbishedus;97.8% positive feedback
https://i.ebayimg.com/thumbs/images/g/UTcAAOSwYHxkw7zN/s-l300.jpg;155691037650;"HP Elitebook 840 G6 14"" Laptop Intel Core i5 2.50 GHz 8 GB 1TB W10P";HP;https://www.ebay.com/itm/155691037650?hash=item243fe8b3d2%3Ag%3AUTcAAOSwYHxkw7zN&amdata=enc%3AAQAIAAAAwDSUFN6NaXORvgTxIhRn%2B0gB4Px8%2FOwQoyAyv6kMW949tDeyRSjg%2BubdyCCqOgzIcWN4NgZ8OvvJ%2FPHAgrm6zon9o4spZiFKMbryB6iQ3MrUcPLXzp5d%2BSofZ%2BsZFEkJdbcQT8j1I5Ull2C57f9FLxvZX6%2FMakk4hZoU8t5tU4p9ROMiVz1BOPHTRCsUXuG3Kubj2rj%2FD4PqQHBeWN8jSWx4oL4Mp0HifigmY6mZ79gJiuB9QWuYxTAP7MA%2B62uPEA%3D%3D%7Ctkp%3ABk9SR67Eofq4Yg&LH_ItemCondition=1000%7C2010;155691037650;US $299.99;Stok tidak ada;Excellent - RefurbishedExcellent - Refurbished;8 GB;Intel UHD Graphics 620;Core i5-6500T; | ;"14""";;;buyrefurbishedus;97.8% positive feedback
