Image URL;Artiker Number;Title;Manufacturer;URL;Shipping Cost;Price;Stock;Condition;RAM;GPU;Processor;SSD vs HDD;Screen Size;Screen Resolution;Product Weight;Supplier;Positive Feedback
https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png;;Shop on eBay;;https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA;Unknown Shipping Cost;Unknown Price;Unknown stock;Unknown condition product;Unknown RAM;Unknown GPU;Unknown Processor;Unknown SSD | Unknown SSD;Unknown Screen Size;Unknown screen resolution;Unknown product weight;Unknown supplier;
https://i.ebayimg.com/thumbs/images/g/9iYAAOSwR5xky~NO/s-l300.jpg;256139373436;15.6in Laptop 15 dy0026ds Intel Celeron N4020, 4GB RAM, 128GB SSD  BRAND NEW;;https://www.ebay.com/itm/256139373436?epid=19040971136&hash=item3ba318ab7c%3Ag%3A9iYAAOSwR5xky%7ENO&amdata=enc%3AAQAIAAAAwJJhItFF624hKZNMLv681qCsh%2BvnXxPXQ0VKfPL8e%2BMP9zqvKuNVS9zBQPpu71WA3ATt0dROoDgjReNyEMH8pWdGyLtfr7Ehki3r2QFawDeW9f5e4X0ebkYUEByUrH5InQJF4HCATrZyDQI95MD1zOHPTXKOgZq8lw3LNxZr7iWGTMqCdhJ5pLcFrRy9VIGZ8VbeGhUFBDzpG14gllRVJ126D8XEwu1OaGdo2uPVivJ3c6cUN5WOV5DkyofsLR8wAg%3D%3D%7Ctkp%3ABk9SR6qYn_q4Yg&LH_ItemCondition=1000%7C2010;256139373436;US $248.95;2 available;NewNew;4 GB;Intel UHD Graphics 600;Intel Celeron N; | ;14 in;1366 x 768;3.24lbs.;digicircle;99.4% positive feedback
https://i.ebayimg.com/thumbs/images/g/vdEAAOSwzUFheCwF/s-l300.jpg;125101209936;"HP 14"" (128GB SSD, AMD Athlon Gold 3150U, 4GB RAM) Laptop - Black...";HP;https://www.ebay.com/itm/125101209936?epid=16048646163&hash=item1d209cf950%3Ag%3AvdEAAOSwzUFheCwF&amdata=enc%3AAQAIAAAAwHLaU7YNxrPBzcWamfhhvfqHxl1DuI5Knp4HN1NC%2Fv8o6MtozTC8D%2BXRVhCp6G2TX0iUO7eFNSYNZOZddHeqcJuXJsghKuDOHlLpWviIi1ArE1MALn7mrVV%2FzLlRhDslzszvmbkImXJC2mIW2EZrWXYNOAY88QxxaqDr8j8pPsj8rtQZZX7nJwuutbDzWG53w6nRNa2Ul8cPRcf%2BTNRJgKt6KZLk%2FbCs%2Fj9M5k6cOiYPyRJ3LjVGAV3oJrPgY1rz%2FQ%3D%3D%7Ctkp%3ABk9SR6qYn_q4Yg&LH_ItemCondition=1000%7C2010;US $39.13;US $269.00;Last One / 2 sold;NewNew;4 GB;AMD Radeon Graphics;AMD Athlon Gold 3150U;128 GB | 128 GB;14 in;1366 x 768;;mingfh9;99.2% positive feedback
https://i.ebayimg.com/thumbs/images/g/aUcAAOSwIExjNJj2/s-l300.jpg;275487298532;"Lenovo Ideapad 14"" PC Laptop, Intel Pentium Gold 6405U, 4GB RAM, 128GB SSD NEW";HP;https://www.ebay.com/itm/275487298532?hash=item40245293e4%3Ag%3AaUcAAOSwIExjNJj2&amdata=enc%3AAQAIAAAA4NGpepgVLm78aeUSOAEkRWCTe83cdnePddA85SsiX5BkSxYrdkXYoZ3BUuM858FfhlwCshZqI%2FbD1gIaZz6Dz4gxergqaiLzBY7eF6c4sje0lsenbxi29QmN%2BP%2BDEiSNZ9uiy%2Bup06Dows3yS0RJ949QrKpAwJTD85mlE7Ey8YmlzX6Moyd3AmamU5ODb5G%2FP%2F8%2FNGNonhn63LvsRWOCWBfhDH5gglQmO5DRKLGZ00BrsCghT6p%2BVl6cw%2BVJzCDBOjdgSuSk%2F45pY5PnnKEpXiWC%2Fc6cpuX%2BY2jIYNEjAxbM%7Ctkp%3ABk9SR6qYn_q4Yg&LH_ItemCondition=1000%7C2010;275487298532;US $269.00;Stok tidak ada;NewNew;;Intel UHD Graphics;Intel Pentium Gold; | ;14 in;;;empowelton;99.6% positive feedback
https://i.ebayimg.com/thumbs/images/g/RLkAAOSwaYtgnRcu/s-l300.jpg;126034547905;"Dell Latitude 3310 13.3"" (128GB SSD, Intel Core i3 8th Gen., 2.10 GHz, 4GB RAM)";Lenovo;https://www.ebay.com/itm/126034547905?epid=2314196825&hash=item1d583e94c1%3Ag%3ARLkAAOSwaYtgnRcu&amdata=enc%3AAQAIAAAAwL8QmeotO296cLFx2NE%2FrWbQEthCg7LHCTh09ojPie1tbpyXECBgjcg8Msx5JF2XTcf3EKq7TdQQqtx%2F2E80znFkdkgyzcn0J80Pi5Cd%2BJImfDq6bxX3M59QRDtVt7zS8PROIi06qP6Mhx%2Bo5ViloKaaOI3Eg2QXSLe0dDbp4nohOdtCsmSBRCZ%2Fcn0C4GrTbDu6f3ZlVRFykyf8r9NJpA3P%2B0edCl9rdVUwMNcoBh8rQb0Axfk3TbFaFMR%2BUSkLBQ%3D%3D%7Ctkp%3ABk9SR6qYn_q4Yg&LH_ItemCondition=1000%7C2010;126034547905;US $700.00;Stok tidak ada;NewNew;4 GB;Intel UHD Graphics 620;Intel Core i3 8th Gen.;128 GB | 128 GB;13.3 in;1366 x 768;3.45 lbs;txdenim;100% positive feedback
https://i.ebayimg.com/thumbs/images/g/W2kAAOSwoZZkjGSH/s-l300.jpg;354853454285;15.6in Laptop For 11 1920x1080 Quad Core Quad Thread 2.4GHz 5GHz;Dell;https://www.ebay.com/itm/354853454285?hash=item529eea01cd%3Ag%3AW2kAAOSwoZZkjGSH&amdata=enc%3AAQAIAAAA4PwamQkV7hWhLqSlu%2FM7pmkXnk7WyTPs22QuJsdjcf3hdlaXl2VkOy6Uz6U4U9%2B%2Fa%2FCsJbROIw%2FL5YVKfoZmsPqZWZJUvyNKr%2BuB0dw7T9f2gbnz3OvHhGzWsedM%2FLNeh5ZZXDveDcaPlGHxwz5nG2O91LMNEviIqFuzmdWI2hgXtVYrN9MbgfYCF9IHt7R8MiOY8zJw6qW04Kpr%2F6B4wea6Gg3kneUVhyVFTp57UKbkZBpxTgwPVvxskAq%2B7hTpJBbIJ6Wdc9hvPTvXruQrIc3ssdm5etnOTEguHkssgd7N%7Ctkp%3ABk9SR6qYn_q4Yg&LH_ItemCondition=1000%7C2010;354853454285;US $269.40/ea;8 available;NewNew;;;As the description shows; | ;As the description shows;;;goodsbetter;98% positive feedback
https://i.ebayimg.com/thumbs/images/g/TXAAAOSwlr9kWMBY/s-l300.jpg;385599296067;"HP Stream 14"" Laptop 16GB RAM 64GB eMMC Intel Celeron N4120 Rose Gold Office 365";Unbranded;https://www.ebay.com/itm/385599296067?hash=item59c7825243%3Ag%3ATXAAAOSwlr9kWMBY&amdata=enc%3AAQAIAAAAwNRcphiiE9FtvwIySBO7u%2BqWsjMmkA%2Bqu62zQlMBX3c477WIgQxmitqjE7FePlQbxICe5Ga917aTJdHChq0tj8xYHsbh0Hr6BfViXeL0GjKkE73lpjlBV5irjGIvZCLO7Zy1Tm5mhxqT1Zrkb5vW7Azf%2FjInso9JUy9pLBknUIaetCzwXY5qED8pORVtIc8UG2FuW64HcsFmnHj%2F8deO9WBEnIdxnUHqMvLZDLUL5OMxk0fpKZmhS8jUuRMyLqh%2FRg%3D%3D%7Ctkp%3ABk9SR6qYn_q4Yg&LH_ItemCondition=1000%7C2010;385599296067;US $269.98;5 available / 1 sold;NewNew;;Intel UHD Graphics 600;Intel Celeron N;64 GB | 64 GB;14 in;1366 x 768;3.24 pounds;rockystoneelectronicsllc;97.9% positive feedback
https://i.ebayimg.com/thumbs/images/g/0QsAAOSwvMxky-9-/s-l300.jpg;285378248007;HP 15.6in Laptop 15-dy0025ds Intel Celeron N4020, 4GB RAM, 128GB SSD - BRAND NEW;HP;https://www.ebay.com/itm/285378248007?hash=item4271de7d47%3Ag%3A0QsAAOSwvMxky-9-&amdata=enc%3AAQAIAAAA4Fwy%2Bg4a%2FpGpUen2jM20CXXHQaGTbpAGBQH%2B2znVveGk1JP5XCeRaSnZWxub9%2F0hXJo2ga8MUPTHGsLaQa%2BA0T%2BDSLECJxkcEXWBhNnKm6TiTWbp%2FWVI5tU96jWg1eTKylTX5Oui%2BGCb4Rj5cPC1VxhgN9i9JAF5PwDSIFYZPL4QZZfTp8HkVgh1Q%2F%2BMW6IF605%2F6igz3t8pOhmdbhms8BkWwiXJRNPWX0Y9lMvVFt%2Bs4bCN7X7GaGQo8LjdIgyP1izkzszLBuBUFpWAByWSUAqHdyQKwK2OjMk6UZ7GtJ0N%7Ctkp%3ABk9SR6qYn_q4Yg&LH_ItemCondition=1000%7C2010;285378248007;US $249.99;7 available;NewNew;4 GB;Intel UHD Graphics 600;Intel Celeron N;128 GB | 128 GB;15.6 in;1366 x 768;3.6 lbs;digicircle;99.4% positive feedback
https://i.ebayimg.com/thumbs/images/g/rScAAOSw81hkuNe1/s-l300.jpg;155676880676;HP Elitebook 840 G5 Laptop Intel Core i5 1.70 GHz 8GB Ram 256GB SSD W10P;HP;https://www.ebay.com/itm/155676880676?epid=17049217574&hash=item243f10af24%3Ag%3ArScAAOSw81hkuNe1&amdata=enc%3AAQAIAAAAwGyhdNSZcRYA5oB4cMLhZTj8UWXXxRpB%2FeXMlC1irAuzqGQeaTVobC1essZP5dZxUjMl6p%2FdEcBP5hXn6htMQZQ8eby%2B7AZlo9XcnNRMBCJkeoq7ws8R6obSE2%2BGOVdpw2lUfK0KrrmhGS7e%2FBrut4dc6e7vjknsLFqlX9ee5x1pabhxBDx5RxQbqj%2FnWNe1ztJ5gkf2TIHk99L6JrjeLmr18G1LB7s6d9xMERrGKVWGPQbYG1pke%2FWRXL2r39qyNw%3D%3D%7Ctkp%3ABk9SR6qYn_q4Yg&LH_ItemCondition=1000%7C2010;155676880676;US $269.99;10 available;Excellent - RefurbishedExcellent - Refurbished;8 GB;Intel UHD Graphics 620;8350U; | ;"14""";;;buyrefurbishedus;97.8% positive feedback
https://i.ebayimg.com/thumbs/images/g/OBEAAOSwGidjEagZ/s-l300.jpg;155608585383;"Lenovo Thinkpad X380 Yoga 13.3"" Laptop Core i5 1.70GHz 8GB 256GB SSD W10P Touch";HP;https://www.ebay.com/itm/155608585383?hash=item243afe94a7%3Ag%3AOBEAAOSwGidjEagZ&amdata=enc%3AAQAIAAAA4OpvypnMme%2BCMZDlp5dkNw1tlKp0MjtzPJw35bHPIl85LEa5sahHv4yEIBg5IHiCzo3G8dTYzHc01SKkIwacZeDGNeH66niqJbh4YceED96gBdOVYPzFHuDHEHy1Ysm3yvGjBuvWB90cn%2Fh8AB%2Ftmpb0ws1TX1ufKGkbCKc6VwPqzUN4R0hl9I%2B2LnMjYmLq0GpdRdNCFiIlGmyjh%2Busrp4u4cdHLj3zkKIy%2FJ4oOoRvsRo015%2Fck1itqDeS9cUVYzkRfqvse%2BZvlICctX4zQDeJRp2EI2OncNEIRkT7CMOJ%7Ctkp%3ABk9SR6qYn_q4Yg&LH_ItemCondition=1000%7C2010;155608585383;US $269.99;2 available;Excellent - RefurbishedExcellent - Refurbished;8 GB;Intel UHD Graphics 620;835U; | ;"13.3""";;;buyrefurbishedus;97.8% positive feedback
