Image URL;Artiker Number;Title;Manufacturer;URL;Shipping Cost;Price;Stock;Condition;RAM;GPU;Processor;SSD vs HDD;Screen Size;Screen Resolution;Product Weight;Supplier;Positive Feedback
https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png;;Shop on eBay;;https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA;No shipping cost;Unknown Price;Unknown stock;Unknown condition product;Unknown RAM;Unknown GPU;Unknown Processor;Unknown SSD | Unknown SSD;Unknown Screen Size;Unknown screen resolution;Unknown product weight;Unknown supplier;
https://i.ebayimg.com/thumbs/images/g/xdoAAOSws7JkPqOV/s-l300.jpg;266224842055;"Samsung ChromeBook 3 11.6"" (16 GB, Intel Celeron, 1.60 GHz, 4 GB) Laptop - Black";;https://www.ebay.com/itm/266224842055?epid=12021679054&hash=item3dfc3cb547%3Ag%3AxdoAAOSws7JkPqOV&amdata=enc%3AAQAIAAAAsD3moQzGZINRoo0x7x2dl6toxobmNyCq4u6aEbz81b2x8VoXH1gCXFIMEA%2F1wlVX%2FfS2Dyn1KpLlhvyOnn1YRSLjQ7Yt3apHR1dI3ZNdO3AQYMEDDoRYYjiGNDmz1BFWW9cLstkS6cQiujmu1YNnt1ztj%2BmmzU5%2BgEIGgqMsHclRuO206hV8A0n2I28X0A9Twk%2BIj47WUe4vXMCuE3iJT40X2JW41bvUs%2Fz5LR1J8Ct9%7Ctkp%3ABk9SR7Kx39-4Yg&LH_ItemCondition=1000%7C2010;Free shipping;US $120.00;Stok tidak ada;NewNew;4 GB, 4GB;Intel® HD Graphics 400;Intel Celeron;16GB | 16GB;11.6 in;;;thundermanllc;98.3% positive feedback
https://i.ebayimg.com/thumbs/images/g/AkIAAOSwczZkKnCt/s-l300.jpg;204293554072;RICILAR Windows Laptop, 14 Inch HD Display, Intel Celeron N4020, 4GB RAM, 128GB;Samsung;https://www.ebay.com/itm/204293554072?hash=item2f90d83f98%3Ag%3AAkIAAOSwczZkKnCt&amdata=enc%3AAQAIAAAA4GN17i7GvMiXEkV813ZkSJyxDjyJGmGxtFcKWhZDiT%2FAIxYrftUh3nO1GCVyW1x21P39lp%2B7azSn57tdWvVBBfLBYyVonjYlEbahRVxhMAxbzlCnYBGWKH%2Fiw2HKLcCoSja5Kmyo2hZpnq9Dd8fPKJpttpusKev%2F5OcP%2FJrPMuXtDEhZz18z5alf5n6%2B8rZ%2FGrqAUHSEV6fn9DJiommsJhqoi9IEwqQt6M5BSgWcfMwDbNK93eb1GjvCgeGzoSG1%2F1ScSeR9UeTTF%2FHOHh7Ltv790bVwr68hirXAfjQoolL%2F%7Ctkp%3ABk9SR7Kx39-4Yg&LH_ItemCondition=1000%7C2010;No shipping cost;US $120.00;Stok tidak ada;NewNew;4 GB;Intel UHD Graphics 600;Intel Celeron N;128 GB | 128 GB;14 in;;;beepikachu;92.3% positive feedback
https://i.ebayimg.com/thumbs/images/g/3CQAAOSwkd5kjrob/s-l300.jpg;374761875726;"Lenovo 100E Chromebook 2ND Gen Laptop Computer, 11.6"" HD (1366 X 768) Display...";Intel;https://www.ebay.com/itm/374761875726?epid=18046172924&hash=item57418c690e%3Ag%3A3CQAAOSwkd5kjrob&amdata=enc%3AAQAIAAAAwBXYE8ME%2FsceBDPVItAJN5ofdVvCTp8QsEcCXGGf%2B9j1kRqKtnQ33x0wbbXWNIfDmdBDImtT1EyYrDBLr9YKjhKdkO9SuATJdmwBJwCRCLFXR7U79v%2FKnEA3fQSecNTc42g102DmZZ%2FTeSRp5mBJXsGFqSi9k7NqOJ40ihhL69t7sxQNW1JSzpKzjoRhH%2FlAL8YxMGJc%2FDcNgDuWf%2Fr7CwqlGH5HZgKv0nst4AQdKkhkXJfybeWxfl9kAtv34DDx8A%3D%3D%7Ctkp%3ABk9SR7Kx39-4Yg&LH_ItemCondition=1000%7C2010;Free shipping;US $123.09;Stok tidak ada;NewNew;4 GB;PowerVR GX6250;MediaTek MT8173C;32 GB | 32 GB;11.6 in;1366 x 768;;tzadokn_0;100% positive feedback
https://i.ebayimg.com/thumbs/images/g/StcAAOSwMeFkhjco/s-l300.jpg;354843247881;ASUS CHROMEBOOK LAPTOP  GRAY C203X;Lenovo;https://www.ebay.com/itm/354843247881?hash=item529e4e4509%3Ag%3AStcAAOSwMeFkhjco&amdata=enc%3AAQAIAAAAwCugpdJgGYXNkKrD7NihH2CKIwEMwb7VEB4W7e%2BFAPVd%2FhsElNT%2B7YUVFkHtl%2BTufUBVW2fXPyuLkHKikekMxo2BsCXlYA%2F6wLX5mfnqGKxE8LLDPcsW5%2BmiTAy%2FrT2v6RT6iHfPvoDLQ8o2XTxM4fo8JhSHabz7CkwTjvewHpicE7tRx3zM%2FQrolmcSadrscgRdivZgjtHC%2F2SkB76j1DfjPA2i%2BSiwDr4D5keV5nDphCVWJcFH5hB8Ry3zQ%2FhVTA%3D%3D%7Ctkp%3ABk9SR7Sx39-4Yg&LH_ItemCondition=1000%7C2010;Free shipping;US $124.99;Stok tidak ada;NewNew;;;Intel Celeron;32 GB | 32 GB;11.6 in;;;amazingdeals786;98.9% positive feedback
https://i.ebayimg.com/thumbs/images/g/KNIAAOSwUjVkrFeI/s-l300.jpg;225664418985;"Lenovo 14"" Chromebook Laptop Intel Celeron Proc 4GB RAM 64GB Storage 82C10009US";ASUS;https://www.ebay.com/itm/225664418985?epid=12057905806&hash=item348aa5c4a9%3Ag%3AKNIAAOSwUjVkrFeI&amdata=enc%3AAQAIAAAA4ILVmZ%2FbO8ykuWEQy1IiiTdZYX9xgGlwdThN34N6LAH3xRTmKU1FTwH8l4Fw4dqtwhiXqIvZnIGaYdyND1SuaEDl5MOUVOW%2F8Gl%2F1Nu%2Bg7twBXM7N8z3CR40R9uvvUfDFSI5%2Bryd5wBIrWhPqN6lmphGomP%2BPf5I0jq9QHUsSLyf9JsJlyqwpHo85t3WhCjvZ1S7UUoLv1RfYwsIaOQSPn%2B5S9HRX%2BTOU%2BiNh%2FtXk%2FsIE8KyYNhnv8R430yyPTEwXHu9qGWOAdh5T3qD9GGUJMvNFA265u9%2Fj76NIKyMOFoo%7Ctkp%3ABk9SR7Sx39-4Yg&LH_ItemCondition=1000%7C2010;Free shipping;US $124.99;Stok tidak ada;NewNew;4 GB;;N\A;64 GB | 64 GB;N\A;;;h.and.a.unlimited;100% positive feedback
https://i.ebayimg.com/thumbs/images/g/yIAAAOSwpbFjQQsy/s-l300.jpg;225196324905;Acer Chromebook 11.6 inch (16GB, Intel Celeron, 3205U, 1.50 GHz, 4GB) Laptop...;Lenovo;https://www.ebay.com/itm/225196324905?epid=10017870016&hash=item346ebf3829%3Ag%3AyIAAAOSwpbFjQQsy&amdata=enc%3AAQAIAAAA4B%2BggsZ2q%2F0JWtSwSDopTsFzhnUIdUNyGWn1YZFhTS3jur%2BCLeVfehE%2FqVSdoZFvteuahGbNVe9ep1Ie26KXpMyLOsewlXSV2vc5DiDHEF5OLeALq3rw754dtSZL9C8owkIJAOqkC2m4qEUrtBBQ1pwTM7vYCUa7hJs9fqS78LQm9lvDQIp%2FlkBP4wKMFMch%2B4Upq91O3%2BFekqPgV4nC1T%2F8dfo9%2BF%2BV2asBi%2BI2hg3QEujJyJtMvFAY9vAuBPzdJfiIXy4MDQIwRfeaIy%2F6q9tFVyXF3DCoiKL2l%2FnjRSNo%7Ctkp%3ABk9SR7Sx39-4Yg&LH_ItemCondition=1000%7C2010;Free shipping;US $125.00;7 available / 2 sold;NewNew;4 GB;Intel HD Graphics;Intel Celeron;16 GB | 16 GB;11.6 in;1366 x 768;2.87lbs.;manoriver2014;99.2% positive feedback
https://i.ebayimg.com/thumbs/images/g/100AAOSw-IlgJPLd/s-l300.jpg;125854103488;"Samsung XE310XBA-KA1US Chromebook 4 11.6"" HD Laptop Celeron N4020 1.1GHz Intel";Acer;https://www.ebay.com/itm/125854103488?epid=11061605774&hash=item1d4d7d37c0%3Ag%3A100AAOSw-IlgJPLd&amdata=enc%3AAQAIAAAA0P5dNKUATehg4jEVIBI1o%2F7gzxXSjcQWtitRTT0n0yw4aWu0RWx1gN8szqjlTEzyTS34QKzqTL9BXrH4deWyZC43rD5MSlhVWE2N4c0OCJ9PZst00AFPuFX9PElpKvoIsmO9jXmi6tX0BzhscQt%2BCrY2QHCQ7pzBQRtuLMO7Iej%2F0AI%2BBVnMliQRXhKGR8BK5CKrdr5QpuXIvQTGz3j7xTX4kgcHKwvyXl5CsZtjctcHW2kzFFPsF7SeFlwpI64Mh6q1L9%2Bj5FNvo9kUqPbbmRg%3D%7Ctkp%3ABk9SR7Sx39-4Yg&LH_ItemCondition=1000%7C2010;Free shipping;US $127.00;Stok tidak ada;NewNew;;;N\A; | ;N\A;;;vipoutlet;97.5% positive feedback
https://i.ebayimg.com/thumbs/images/g/VJMAAOSwh7RkppNE/s-l300.jpg;285367710964;Lenovo 100e Chromebook 11.6 Laptop Computer - Black;Samsung;https://www.ebay.com/itm/285367710964?hash=item42713db4f4%3Ag%3AVJMAAOSwh7RkppNE&amdata=enc%3AAQAIAAAAwOXkxGroKURPZvvHWicyELpIk%2BORuN2grqVf4fE1JXI2nM4cbrmgVYcgtcwgoQSPARab52%2B0OLWV134h4pP2hohq2QhQosidH40SaEJvCbkjL%2BaqCQLrT9j2Th59Wkc1tiz3WBxN9HRcgXy0xqqV9A9hCIrpyO3kJVpGoc638Aa5K1GxvKKvSHD3KI34%2BpSws9YH43FbknI4Im7uULTTQVcl9k3imVFob4g7M9QP4LwXeFhMrGv4voW2O9uyrILbqA%3D%3D%7Ctkp%3ABk9SR7Sx39-4Yg&LH_ItemCondition=1000%7C2010;Free shipping;US $127.43;Stok tidak ada;NewNew;;See description for details;Not Applicable;See description for details | See description for details;Not Applicable;See description for details;;eliavna27;93.5% positive feedback
https://i.ebayimg.com/thumbs/images/g/VsoAAOSwcitkq7yL/s-l300.jpg;166220142399;"Lenovo 100E Chromebook 2ND Gen Laptop Computer 11.6"" HD 1366 X 768 Display Me...";Amazon Renewed;https://www.ebay.com/itm/166220142399?epid=18046172924&hash=item26b37e173f%3Ag%3AVsoAAOSwcitkq7yL&amdata=enc%3AAQAIAAAA4CAGrLHTbWMxJ7nHZtptZSoFiKMHMjr6zWL9awyVd4ZUK3q%2Fr4%2FlYcHrhv7GkphGmxxKqhzx%2BDkhOsXSI2jkt6V891F6o2wEM8vEJYSUKJR48TFKTvGBUcP2ToJqnmU2hV4kXIqJzhSMdkFMpF6Z9a6sqvU1T41Bc8DLnsw5pEtNNPmwtpZLA132%2Brlo8y21jBsaAJ96G9sam7iUM1WlpEblYK0XRGZWErGIehEhzmVPKkr5N1Lwzb8sD8AllstQlEsXLbxQ%2FKTqYKWuFDB0is6EJ7VFW8z7SZxNQ%2FLL7ZZQ%7Ctkp%3ABk9SR7Sx39-4Yg&LH_ItemCondition=1000%7C2010;Free shipping;US $127.79;Stok tidak ada;NewNew;4 GB;PowerVR GX6250;MediaTek MT8173C;32 GB | 32 GB;11.6 in;1366 x 768;;1qualitygoods-beststore;95.6% positive feedback
